country,total_tickets,active_backlog,completed_tickets,avg_first_response_minutes,avg_resolution_hours,avg_survey_score,avg_agent_interactions,response_sla_violations,resolution_sla_violations,backlog_rate_pct,response_sla_compliance_pct,completed_resolution_sla_compliance_pct
Austria,144,29,115,22.0,38.15,3.24,5.0,14,57,20.14,90.0,75.65
Bulgaria,131,17,114,24.02,30.13,3.62,5.14,17,34,12.98,86.82,85.09
Czech Republic,134,19,115,31.65,34.52,3.48,6.05,18,41,14.18,86.47,80.87
France,158,31,127,31.54,33.25,3.51,5.16,15,54,19.62,90.45,81.89
Germany,306,52,254,26.85,35.93,3.55,6.32,44,110,16.99,85.53,77.17
Greece,144,28,116,33.79,36.78,3.28,5.2,18,58,19.44,87.41,74.14
Italy,303,60,243,22.45,32.4,3.54,5.17,37,104,19.8,87.67,81.89
Poland,287,50,237,22.95,32.36,3.64,5.63,27,95,17.42,90.56,81.01
Republic of Ireland,148,29,119,24.38,32.5,3.44,5.1,11,47,19.59,92.52,84.87
Slovenia,159,28,131,41.63,30.44,3.6,4.35,33,50,17.61,79.11,83.21
Spain,133,21,112,33.17,36.72,3.55,5.91,19,43,15.79,85.61,80.36
United Kingdom,283,54,229,20.64,28.96,3.46,5.76,26,91,19.08,90.75,83.84
