year_month,total_tickets,active_backlog,completed_tickets,avg_first_response_minutes,avg_resolution_hours,avg_survey_score,response_sla_compliance_pct,completed_resolution_sla_compliance_pct
2023-01,224,37,187,30.4,26.1,3.49,87.05,91.44
2023-02,159,36,123,29.83,27.17,3.47,85.9,90.24
2023-03,203,35,168,29.44,30.55,3.56,87.13,88.69
2023-04,173,38,135,31.54,27.03,3.43,84.21,85.19
2023-05,219,45,174,28.62,28.19,3.41,84.86,87.93
2023-06,203,40,163,26.71,31.85,3.58,85.22,82.82
2023-07,202,38,164,21.02,35.82,3.43,89.11,78.05
2023-08,194,35,159,30.68,38.21,3.44,89.12,76.1
2023-09,164,21,143,27.03,39.14,3.43,89.63,74.13
2023-10,200,29,171,23.33,39.19,3.55,91.5,71.93
2023-11,213,33,180,20.61,37.87,3.63,90.61,71.67
2023-12,176,31,145,23.46,37.14,3.63,90.85,72.41
